date,actual,gru_baseline_42,lstm_baseline_42,tcn_baseline_42,transformer_baseline_42,gru_baseline_73,lstm_baseline_73,tcn_baseline_73,transformer_baseline_73,gru_baseline_1234,lstm_baseline_1234,tcn_baseline_1234,transformer_baseline_1234,gru_baseline_31415,lstm_baseline_31415,tcn_baseline_31415,transformer_baseline_31415,gru_baseline_271828183,lstm_baseline_271828183,tcn_baseline_271828183,transformer_baseline_271828183,gru_rs_42,lstm_rs_42,tcn_rs_42,transformer_rs_42,gru_rs_73,lstm_rs_73,tcn_rs_73,transformer_rs_73,gru_rs_1234,lstm_rs_1234,tcn_rs_1234,transformer_rs_1234,gru_rs_31415,lstm_rs_31415,tcn_rs_31415,transformer_rs_31415,gru_rs_271828183,lstm_rs_271828183,tcn_rs_271828183,transformer_rs_271828183,gru_optuna_42,lstm_optuna_42,tcn_optuna_42,transformer_optuna_42,gru_optuna_73,lstm_optuna_73,tcn_optuna_73,transformer_optuna_73,gru_optuna_1234,lstm_optuna_1234,tcn_optuna_1234,transformer_optuna_1234,gru_optuna_31415,lstm_optuna_31415,tcn_optuna_31415,transformer_optuna_31415,gru_optuna_271828183,lstm_optuna_271828183,tcn_optuna_271828183,transformer_optuna_271828183
5/29/2023,6681.102051,6648.4663,6618.7393,6657.082,6587.209,6668.0796,6570.7173,6667.261,6710.1694,6670.0933,6662.4272,6653.7744,6766.146,6687.782,6529.775,6610.6665,6648.4336,6639.7363,6686.4243,6708.0464,6681.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2023,6636.422852,6635.7173,6606.3833,6645.398,6563.942,6652.1226,6555.8193,6653.643,6698.0425,6662.8516,6649.905,6640.7046,6760.1753,6676.4873,6519.14,6594.5347,6639.5713,6616.603,6680.107,6698.9805,6664.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2023,6633.26123,6601.1855,6580.757,6596.2417,6520.752,6611.244,6530.869,6605.64,6656.5947,6633.4644,6618.3276,6591.293,6728.4443,6643.9766,6497.6123,6582.1416,6604.079,6591.2046,6661.8604,6656.352,6622.6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2023,6633.26123,6577.776,6549.5317,6592.234,6495.6353,6594.851,6501.599,6603.1206,6648.959,6611.3535,6594.944,6587.797,6716.6846,6619.563,6468.1206,6548.0356,6591.673,6573.4844,6638.2817,6647.8066,6611.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2023,6633.26123,6582.907,6535.607,6597.1206,6513.41,6605.151,6489.653,6608.9053,6658.351,6606.9497,6590.388,6594.8213,6729.2026,6624.708,6456.903,6527.3857,6597.507,6565.819,6629.055,6640.0737,6624.7866,,6609.694,,,,,6618.7256,,,,6607.8423,6587.15,,,,,,,6644.9062,6610.7026,,6589.8433,6588.6494,6619.957,,6570.034,,,6633.6743,,,6585.6777,,,,6506.801,,6609.5938,6654.122,6686.522
6/3/2023,6633.26123,6601.5625,6544.04,6606.6143,6531.4004,6623.97,6498.2476,6616.24,6651.4385,6615.19,6599.1157,6607.899,6727.6494,6645.4834,6467.2974,6542.5483,6613.7188,6572.479,6630.797,6658.8574,6633.091,,6630.5747,,,,,6624.9746,,,,6617.26,6592.1143,,,,,,,6646.1367,6619.6343,,6623.4604,6597.071,6630.0356,,6587.1245,,,6635.348,,,6595.479,,,,6522.897,,6624.185,6653.9907,6691.163
6/4/2023,6633.26123,6602.993,6545.502,6606.054,6529.668,6615.3574,6500.6885,6613.6587,6650.618,6617.6313,6604.9214,6602.3394,6724.4585,6647.559,6472.2715,6545.406,6613.4136,6577.2036,6631.8496,6664.9917,6634.4507,,6637.669,,,,,6625.292,,,,6617.842,6592.0684,,,,,,,6646.2373,6620.8623,,6622.8623,6597.1357,6628.5327,,6596.9336,,,6624.598,,,6591.9985,,,,6537.1978,,6629.502,6654.3545,6686.8477
6/5/2023,6633.437012,6599.945,6545.9985,6609.2896,6527.59,6610.138,6500.9663,6611.576,6650.7017,6615.8335,6605.3926,6604.0576,6721.0796,6643.7407,6474.142,6544.2266,6612.921,6579.2056,6631.4014,6659.62,6636.846,,6636.6343,,,,,6625.252,,,,6618.3413,6591.427,,,,,,,6644.173,6622.0933,,6615.6465,6597.2974,6627.942,,6600.0034,,,6621.8774,,,6590.23,,,,6543.602,,6628.9014,6654.255,6684.967
6/6/2023,6618.922852,6588.7065,6544.142,6593.8477,6507.2236,6598.8657,6488.7656,6601.212,6632.6636,6611.545,6594.917,6588.9033,6706.6113,6635.0435,6464.8105,6561.0044,6600.328,6575.956,6619.9956,6652.1094,6632.21,,6631.2944,,,,,6618.4805,,,,6610.2363,6571.8413,,,,,,,6633.3105,6603.9355,,6607.4146,6588.486,6627.491,,6599.6177,,,6605.205,,,6585.949,,,,6545.253,,6621.3735,6652.344,6687.4097
6/7/2023,6619.754883,6578.927,6547.1553,6576.554,6493.1646,6587.9897,6479.3594,6591.5947,6619.315,6603.886,6582.6294,6574.117,6695.8203,6624.351,6454.502,6560.41,6585.1567,6563.0806,6608.558,6640.656,6634.7114,,6618.009,,,,,6605.0933,,,,6596.774,6556.7065,,,,,,,6616.8813,6588.165,,6599.4287,6575.176,6615.8657,,6595.3413,,,6598.377,,,6582.9487,,,,6543.781,,6613.402,6640.669,6679.995
6/8/2023,6666.330078,6577.7285,6553.2495,6585.717,6504.0864,6590.557,6479.586,6596.282,6631.643,6599.3037,6586.6504,6579.8955,6697.3574,6623.5083,6453.343,6545.5996,6595.3955,6566.3994,6606.126,6647.1616,6639.0693,,6614.7104,,,,,6609.647,,,,6599.859,6568.903,,,,,,,6619.048,6598.764,,6596.2173,6581.467,6620.2856,,6592.5366,,,6598.944,,,6591.7676,,,,6547.2036,,6615.2617,6639.344,6684.4297
