date,actual,gru_mcd_1234,gru_mcd_1234_L,gru_mcd_1234_U,gru_mcd_42,gru_mcd_42_L,gru_mcd_42_U,gru_mcd_73,gru_mcd_73_L,gru_mcd_73_U,gru_mcd_31415,gru_mcd_31415_L,gru_mcd_31415_U,gru_mcd_271828183,gru_mcd_271828183_L,gru_mcd_271828183_U,lstm_mcd_31415,lstm_mcd_31415_L,lstm_mcd_31415_U,lstm_mcd_73,lstm_mcd_73_L,lstm_mcd_73_U,lstm_mcd_271828183,lstm_mcd_271828183_L,lstm_mcd_271828183_U,lstm_mcd_42,lstm_mcd_42_L,lstm_mcd_42_U,lstm_mcd_1234,lstm_mcd_1234_L,lstm_mcd_1234_U,transformer_mcd_1234,transformer_mcd_1234_L,transformer_mcd_1234_U,transformer_mcd_31415,transformer_mcd_31415_L,transformer_mcd_31415_U,transformer_mcd_73,transformer_mcd_73_L,transformer_mcd_73_U,transformer_mcd_42,transformer_mcd_42_L,transformer_mcd_42_U,transformer_mcd_271828183,transformer_mcd_271828183_L,transformer_mcd_271828183_U,tcn_mcd_73,tcn_mcd_73_L,tcn_mcd_73_U,tcn_mcd_42,tcn_mcd_42_L,tcn_mcd_42_U,tcn_mcd_31415,tcn_mcd_31415_L,tcn_mcd_31415_U,tcn_mcd_1234,tcn_mcd_1234_L,tcn_mcd_1234_U,tcn_mcd_271828183,tcn_mcd_271828183_L,tcn_mcd_271828183_U,gru_hllla_31415,gru_hllla_31415_L,gru_hllla_31415_U,gru_hllla_73,gru_hllla_73_L,gru_hllla_73_U,gru_hllla_42,gru_hllla_42_L,gru_hllla_42_U,gru_hllla_1234,gru_hllla_1234_L,gru_hllla_1234_U,gru_hllla_271828183,gru_hllla_271828183_L,gru_hllla_271828183_U
2023-05-29,6681.102051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30,6636.422852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31,6633.26123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,6633.26123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02,6633.26123,6638.9424,6538.525146,6764.519995,,,,,,,,,,,,,,,,6573.3857,6453.688757,6684.26178,6601.8823,6482.120483,6699.134351,6583.6733,6447.537231,6687.913904,,,,6585.6973,6532.216381835938,6657.4330078125,,,,,,,,,,6546.7056,6391.669250488281,6711.642248535156,,,,6589.7188,6580.01708984375,6599.73076171875,,,,,,,,,,6623.5737,6487.7046,6759.443,,,,,,,6625.674,6535.6206,6715.727,,,
2023-06-03,6633.26123,6635.804,6555.98374,6737.718713,,,,,,,,,,,,,,,,6604.208,6484.370276,6702.14552,6618.787,6511.271277,6733.880103,6622.8643,6507.098914,6712.597656,,,,6578.97,6527.49111328125,6633.390051269531,,,,,,,,,,6539.6133,6405.900451660156,6691.330590820312,,,,6599.2983,6587.994018554688,6613.181140136719,,,,,,,,,,6644.032,6508.164,6779.9004,,,,,,,6624.5303,6535.942,6713.1187,,,
2023-06-04,6633.26123,6628.433,6532.628943,6725.026416,,,,,,,,,,,,,,,,6610.0005,6503.20188,6721.726343,6627.966,6453.887097,6763.106677,6619.8374,6494.202612,6722.177795,,,,6585.3486,6518.325073242188,6645.173559570312,,,,,,,,,,6550.119,6424.014892578125,6690.007104492187,,,,6599.72,6584.283410644532,6611.25302734375,,,,,,,,,,6639.4556,6504.1797,6774.7314,,,,,,,6616.567,6527.86,6705.274,,,
2023-06-05,6633.437012,6623.3457,6526.484314,6710.035706,,,,,,,,,,,,,,,,6608.909,6498.8099,6704.190112,6634.564,6492.939307,6736.944995,6624.6177,6516.310107,6715.33717,,,,6584.7886,6532.392858886718,6642.970007324218,,,,,,,,,,6564.839,6421.297534179687,6713.172375488281,,,,6599.899,6588.563256835938,6612.629260253906,,,,,,,,,,6634.303,6499.3896,6769.217,,,,,,,6618.685,6530.09,6707.2803,,,
2023-06-06,6618.922852,6606.176,6525.191968,6710.051257,,,,,,,,,,,,,,,,6593.679,6435.764832,6712.428845,6628.006,6503.010669,6730.822241,6621.6045,6497.55824,6726.136511,,,,6565.326,6518.323486328125,6620.236108398438,,,,,,,,,,6540.927,6416.818273925781,6712.823315429688,,,,6590.7715,6578.2237548828125,6605.097180175781,,,,,,,,,,6624.3574,6490.2964,6758.4185,,,,,,,6594.283,6504.918,6683.6484,,,
2023-06-07,6619.754883,6596.698,6498.479663,6675.830872,,,,,,,,,,,,,,,,6590.5396,6462.545239,6708.81803,6612.02,6461.896167,6703.70321,6592.1377,6472.260144,6733.522314,,,,6554.877,6506.300524902344,6620.391809082032,,,,,,,,,,6509.611,6354.641906738281,6668.904345703125,,,,6578.0796,6566.500598144531,6590.503393554687,,,,,,,,,,6617.9585,6484.1704,6751.7466,,,,,,,6591.244,6502.49,6679.998,,,
